Date,AAL.L,AZN.L,BARC.L,BP.L,CPG.L,DGE.L,GSK.L,HSBA.L,LLOY.L,REL.L,RIO.L,RR.L,SHEL.L,ULVR.L,VOD.L
2025-03-31,2104.03515625,11253.21875,287.7763366699219,435.9098205566406,2552.35302734375,2013.9564208984375,1461.5367431640625,873.6959838867188,72.04521179199219,3872.367919921875,4585.43310546875,748.9069213867188,2824.160888671875,4928.87109375,72.86051940917969
2025-04-01,2101.582763671875,11365.2119140625,293.8758239746094,432.8111267089844,2574.347412109375,2022.4541015625,1468.534423828125,876.9951171875,72.5649642944336,3912.361328125,4653.41748046875,779.30322265625,2805.66650390625,4939.56298828125,72.16089630126953
2025-04-02,2108.939453125,11227.220703125,296.7256164550781,432.9111022949219,2597.341552734375,2046.4476318359375,1433.0457763671875,882.7938232421875,72.42503356933594,3910.36181640625,4600.4296875,755.7061157226562,2779.17431640625,4965.22265625,70.34188079833984
2025-04-03,1965.7279052734375,11391.2099609375,270.8777160644531,400.27532958984375,2634.332275390625,2034.450927734375,1465.03564453125,804.5120849609375,69.6663589477539,3925.359375,4491.955078125,745.9072875976562,2666.707763671875,5114.90673828125,71.40130615234375
2025-04-04,1797.405029296875,10807.25,250.02944946289062,370.538330078125,2509.36376953125,2011.4571533203125,1417.05078125,759.822509765625,64.9686279296875,3815.377197265625,4238.01416015625,658.9180908203125,2480.76318359375,5018.68115234375,66.74382781982422
2025-04-07,1778.179443359375,10055.302734375,241.8301239013672,348.79779052734375,2349.404296875,1975.9666748046875,1331.078125,737.627685546875,63.989097595214844,3516.426025390625,4232.515625,635.7210083007812,2369.7958984375,4784.533203125,65.18467712402344
2025-04-08,1821.3392333984375,10373.2802734375,254.0291290283203,354.0954895019531,2455.37744140625,2042.44873046875,1340.0753173828125,735.0283813476562,66.2879867553711,3628.40771484375,4214.51953125,679.1156616210938,2393.288818359375,4901.072265625,65.44454193115234
2025-04-09,1731.0960693359375,9666.3291015625,241.630126953125,332.8047790527344,2403.390625,2014.456298828125,1263.5994873046875,713.033447265625,64.3689193725586,3581.41552734375,4116.04248046875,663.5175170898438,2290.819091796875,4814.4697265625,63.8853759765625
2025-04-10,1855.082275390625,10017.3046875,260.2286071777344,341.4510192871094,2479.37158203125,2059.444091796875,1274.595947265625,733.5286865234375,66.3297119140625,3732.390625,4207.021484375,693.5137939453125,2325.30908203125,4886.10400390625,65.32460021972656
2025-04-11,1915.5057373046875,10007.3056640625,257.9288024902344,331.5553283691406,2493.367919921875,2052.446044921875,1293.5899658203125,743.326416015625,66.74964904785156,3736.39013671875,4302.4990234375,693.7138061523438,2307.314208984375,4994.09033203125,66.14415740966797
2025-04-14,1948.8564453125,10319.2841796875,270.3777770996094,341.0511779785156,2520.361083984375,2108.430908203125,1322.080810546875,770.719970703125,68.72933959960938,3781.3828125,4341.98974609375,709.5118408203125,2353.800537109375,5016.54296875,68.38294219970703
2025-04-15,1992.21240234375,10279.287109375,279.17706298828125,346.5987548828125,2556.35205078125,2035.45068359375,1345.5736083984375,783.3170166015625,70.78902435302734,3895.3642578125,4351.48779296875,731.7091064453125,2370.79541015625,5011.197265625,69.22248840332031
2025-04-16,1995.155029296875,10253.2890625,277.9771423339844,354.0954895019531,2537.35693359375,2077.439208984375,1345.0736083984375,787.5160522460938,70.76902770996094,3914.361083984375,4351.98779296875,724.1100463867188,2433.77685546875,5077.48583984375,70.26193237304688
2025-04-17,1985.83642578125,10123.2978515625,277.2771911621094,359.2432556152344,2551.353271484375,2070.441162109375,1336.076416015625,788.8157958984375,70.30909729003906,3938.357177734375,4396.97705078125,714.3704833984375,2438.275634765625,5138.42822265625,70.44183349609375
2025-04-22,1995.155029296875,10139.296875,279.97698974609375,358.79345703125,2549.353759765625,2099.433349609375,1361.568359375,800.113037109375,71.26895141601562,3933.35791015625,4465.9609375,715.9703979492188,2431.277587890625,5218.6162109375,72.16089630126953
2025-04-23,2058.91357421875,10361.28125,293.7258605957031,357.5939636230469,2510.363525390625,2089.43603515625,1378.56298828125,845.002685546875,73.52860260009766,3943.356201171875,4584.43359375,727.7698974609375,2430.777587890625,5149.1201171875,70.20195770263672
2025-04-24,2113.84423828125,10443.275390625,289.5762023925781,362.0420227050781,2492.3681640625,2100.007080078125,1393.5582275390625,835.0049438476562,72.64874267578125,3966.3525390625,4610.42724609375,735.1696166992188,2433.277099609375,5122.39013671875,70.06202697753906
2025-04-25,2106.97802734375,10399.2783203125,292.825927734375,364.2910461425781,2458.376708984375,2064.44287109375,1388.559814453125,833.8052368164062,72.98868560791016,4002.3466796875,4548.94189453125,755.3687744140625,2463.26806640625,5009.05859375,70.30189514160156
2025-04-28,2070.684326171875,10525.26953125,295.07574462890625,361.84210205078125,2438.3818359375,2069.44140625,1408.553466796875,833.50537109375,72.88870239257812,3959.353759765625,4523.94775390625,754.3688354492188,2457.269775390625,5024.02685546875,71.40130615234375
2025-04-29,2086.869384765625,10617.263671875,297.9754943847656,353.04595947265625,2449.379150390625,2057.444580078125,1431.5462646484375,855.4002075195312,73.16865539550781,4001.346923828125,4545.4423828125,752.7688598632812,2442.274169921875,5011.197265625,71.86105346679688
2025-04-30,1990.25048828125,10727.255859375,296.7756042480469,350.1471862792969,2517.36181640625,2091.435546875,1483.0299072265625,831.8057250976562,73.26863861083984,4066.336181640625,4445.9658203125,754.1688232421875,2439.77490234375,5088.177734375,73.22032928466797
