Date,AAL.L,AZN.L,BARC.L,BP.L,CPG.L,DGE.L,GSK.L,HSBA.L,LLOY.L,REL.L,RIO.L,RR.L,SHEL.L,ULVR.L,VOD.L
2020-05-07,-0.3783123167066458,-0.07177116485962631,-0.5101856333395146,-0.2928258216098918,-0.41266590334969433,-0.20245527946027198,-0.10924183225902695,-0.27689643077413106,-0.4742757038866924,-0.1684963934810323,-0.11940155835222277,-0.5707902586344467,-0.2639619431894197,-0.11908718844459643,-0.22818178110054665
2020-05-11,-0.29770710803050837,-0.08895474844478224,-0.4649470623294093,-0.2743435213563238,-0.3636596653711479,-0.18784890533613996,-0.10889417981663974,-0.2781696537313376,-0.45151090850651576,-0.17680873998707125,-0.09763401763557833,-0.5113538951281018,-0.23355825497481086,-0.11343088091771092,-0.24411896961778434
2020-05-12,-0.2912106552343523,-0.09567098943875074,-0.47625777631851796,-0.2780721824488892,-0.3580402102607728,-0.19533059450215784,-0.12688938288497453,-0.27295522459473187,-0.4398734228267499,-0.1698795440464902,-0.10280867969241725,-0.528612846997748,-0.2437849889249576,-0.12681158217255284,-0.261066551162103
2020-05-13,-0.28720064897639397,-0.07356814733715022,-0.454921197807331,-0.28505938449286095,-0.30884604861008236,-0.1543846938583998,-0.09330574788426527,-0.27485654089369926,-0.41142259277176774,-0.13033980473076612,-0.07170578444752773,-0.4975609454205193,-0.23997082039699336,-0.12023747160518117,-0.24813727469005542
2020-05-14,-0.33168620167837615,-0.0009843676888786623,-0.47836513487284027,-0.3233140057488608,-0.36412080124107293,-0.1529227932717213,-0.07413531339771984,-0.28207931129676267,-0.4466400390328584,-0.1299657112796475,-0.10280848564386325,-0.5200286122122755,-0.2802480220160125,-0.0995750909681481,-0.2663783385590984
2020-05-15,-0.3644515257489809,-0.001245131186968007,-0.5065790369077439,-0.3484073564129021,-0.36148907647882667,-0.14677803288719005,-0.06609558979851349,-0.3081877400373444,-0.4874202695810411,-0.16650568696627177,-0.12998499224027305,-0.5355109662123295,-0.30661444844805974,-0.1031383024900352,-0.28835005049579987
2020-05-18,-0.3580194531663331,0.07117052083618702,-0.5050021795071074,-0.36094992372848766,-0.3379702379348747,-0.14198839771130545,-0.008701209710932578,-0.3060734187685882,-0.4800388068366708,-0.13699959565190778,-0.11944976195961665,-0.5435619226434674,-0.32525975452605116,-0.10317535937262012,-0.28579033527592723
2020-05-19,-0.32359929493016726,0.0805983833328352,-0.489532931490523,-0.34154021208791274,-0.31499111634245525,-0.12257159840175891,-0.0004317254255552516,-0.2985440022351816,-0.46456821048749186,-0.11287986050521459,-0.09359640046094786,-0.5102490000923908,-0.2913003245829726,-0.11116078902494975,-0.2795130981173446
2020-05-20,-0.3155492708564904,0.07985717638599299,-0.4801805015448912,-0.33923477819382886,-0.32159382936529124,-0.13121406314970407,0.0004102760179851561,-0.24270696046836593,-0.46098791616524903,-0.09538670195683285,-0.08096070354761775,-0.5149631640234472,-0.298401501335246,-0.07115476029748335,-0.28525435052427706
2020-05-21,-0.36322702700462595,0.07046775572963959,-0.5105238797346497,-0.3665728864646628,-0.35137218045937413,-0.1783694942864381,-0.016161419638443864,-0.285688730521264,-0.4761562969872244,-0.14244861951803234,-0.13479909586776817,-0.5357896551439308,-0.32060979289904035,-0.0918201347166242,-0.3205391463714131
